,Unnamed: 0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,Unnamed: 0,target
16926576,16926576,2021-08-02 21:59:33.226549+00:00,x,y,2021-08-08 17:00:00+00:00,2021-08-08 18:59:00+00:00,gamma,True,20.0,1,c-6,16926576,11045.0
4413240,4413240,2021-04-08 17:48:47.144065+00:00,x,y,2021-04-10 11:00:00+00:00,2021-04-10 13:00:00+00:00,gamma,True,20.0,2,c-4,4413240,9650.0
492676,492676,2021-01-14 21:18:11.387249+00:00,x,y,2021-02-05 16:00:00+00:00,2021-02-05 17:55:00+00:00,beta,False,20.0,0,b-19,492676,8697.0
2342299,2342299,2021-02-28 17:10:09.331174+00:00,x,y,2021-03-05 05:15:00+00:00,2021-03-05 07:25:00+00:00,alpha,True,15.0,1,a-1,2342299,7502.0
8625891,8625891,2021-06-03 17:37:26.239547+00:00,x,y,2021-06-30 05:00:00+00:00,2021-06-30 07:00:00+00:00,gamma,True,20.0,2,c-2,8625891,11900.0
11186671,11186671,2021-06-25 09:23:27.156356+00:00,x,y,2021-07-04 16:00:00+00:00,2021-07-04 18:00:00+00:00,alpha,True,15.0,1,a-23,11186671,13592.0
4301160,4301160,2021-04-05 22:56:16.150614+00:00,x,y,2021-04-12 05:00:00+00:00,2021-04-12 06:55:00+00:00,beta,True,20.0,0,b-1,4301160,9019.0
19524883,19524883,2021-08-16 22:21:50.660499+00:00,x,y,2021-08-28 05:00:00+00:00,2021-08-28 06:55:00+00:00,beta,True,20.0,0,b-1,19524883,6910.0
1287368,1287368,2021-02-04 22:57:31.107094+00:00,x,y,2021-02-08 05:15:00+00:00,2021-02-08 07:25:00+00:00,alpha,True,0.0,0,a-1,1287368,8739.0
590151,590151,2021-01-17 21:25:21.426990+00:00,x,y,2021-02-07 05:15:00+00:00,2021-02-07 07:25:00+00:00,alpha,True,20.0,1,a-1,590151,10227.0
